date,card_en,card_zh,grading_company,grade,psa_grade,price_usd,price_twd,exchange_rate,source,source_platform,listed_price_usd,actual_price_usd,original_price_display,sale_type,owned,url,source_url,data_origin,reconciled_from,rate_basis
2026-05-31,Venusaur,妙蛙花,PSA,8,PSA 8,1350,43605,32.3,Fanatics,Fanatics,1350,1350,"$1,350",Auction,Auction,https://www.fanaticscollect.com/weekly/b6bdc1c4-586e-11f1-a8dd-0a58a9feac02,https://www.fanaticscollect.com/weekly/b6bdc1c4-586e-11f1-a8dd-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-05-31),existing price_history.csv rate for date
2026-05-31,Zapdos,閃電鳥,PSA,8,PSA 8,600,19380,32.3,Fanatics,Fanatics,600,600,$600,Auction,,https://www.fanaticscollect.com/weekly/a65c6d02-4645-11f1-9fd5-0a58a9feac02,https://www.fanaticscollect.com/weekly/a65c6d02-4645-11f1-9fd5-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-05-31),existing price_history.csv rate for date
2026-05-31,Machamp,怪力,PSA,8,PSA 8,930,30039,32.3,Fanatics,Fanatics,930,930,$930,Auction,,https://www.fanaticscollect.com/weekly/a6596cd8-4645-11f1-968e-0a58a9feac02,https://www.fanaticscollect.com/weekly/a6596cd8-4645-11f1-968e-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-05-31),existing price_history.csv rate for date
2026-05-31,Raichu,雷丘,PSA,8,PSA 8,588,18992,32.3,Fanatics,Fanatics,588,588,$588,Auction,,https://www.fanaticscollect.com/weekly/a65af530-4645-11f1-bc43-0a58a9feac02,https://www.fanaticscollect.com/weekly/a65af530-4645-11f1-bc43-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-05-31),existing price_history.csv rate for date
2026-05-31,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,125,4037,32.3,eBay,eBay,,125,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-30,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,121,3908,32.3,eBay,eBay,,121,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-27,Pikachu,皮卡丘,PSA,8,PSA 8,300,9690,32.3,eBay,eBay via 130point,300,300,$300.00 USD,Fixed Price,,https://ebay.com/itm/137348155622?nordt=true,https://ebay.com/itm/137348155622?nordt=true,combined_graded.xlsx,price_history.csv (2026-05-27),existing price_history.csv rate for date
2026-05-26,Pikachu (Jungle),2000叢林皮卡丘,PSA,10,PSA 10,975,31492,32.3,eBay,eBay,,975,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-24,Clefairy,皮皮,PSA,7,PSA 7,500,16150,32.3,eBay,eBay,,500,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-23,Charizard,噴火龍,PSA,8,PSA 8,7740,250002,32.3,社團,社團,,7740,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-23,Charizard,噴火龍,PSA,8,PSA 8,7740,250002,32.3,社團,社團,,7740,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-22,Raichu,雷丘,PSA,8,PSA 8,604,19509,32.3,eBay,eBay,,604,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-22,Pikachu (Jungle),2000叢林皮卡丘,PSA,8,PSA 8,80,2584,32.3,eBay,eBay,,80,,,,,,price_history.csv,,existing price_history.csv rate for date
